Parent,Numeral,Name,Mean radius (km),Semi-major axis (km),Sidereal period (d) (r = retrograde),Discovery year,Discovered by,Notes,Is sidereal during retrograde
9,1,129,1737.1,384399.0,27.321582,-5300,18,6,0
8,1,65,11.1,9380.0,0.319,1877,33,0,0
8,2,105,6.2,23460.0,1.262,1877,33,0,0
14,1,139,1818.1,421800.0,1.769,1610,8,12,0
14,2,41,1560.7,671100.0,3.551,1610,8,12,0
14,3,67,2634.1,1070400.0,7.155,1610,8,12,0
14,4,86,2408.4,1882700.0,16.69,1610,8,12,0
14,5,180,83.5,181400.0,0.498,1892,56,24,0
14,6,6,67.0,11461000.0,250.56,1904,37,25,0
14,7,85,43.0,11741000.0,259.64,1905,37,25,0
14,8,137,30.0,23624000.0,743.63,1908,7,19,0
14,9,195,19.0,23939000.0,758.9,1914,34,19,0
14,10,31,18.0,11717000.0,259.2,1938,34,25,0
14,11,25,23.0,23404000.0,734.17,1938,34,18,0
14,12,12,14.0,21276000.0,629.77,1951,34,14,0
14,13,57,10.0,11165000.0,240.92,1974,26,25,0
14,14,23,49.3,221900.0,0.675,1979,28,24,0
14,15,21,8.2,129000.0,0.298,1979,4,24,0
14,16,106,21.5,128000.0,0.295,1979,28,24,0
14,17,127,4.3,24103000.0,758.77,2000,60,19,0
14,18,71,4.0,7284000.0,130.02,1975/2000,19,1,0
14,19,141,2.7,23493000.0,752.86,2000,47,19,0
14,20,64,2.5,23280000.0,732.41,2000,47,18,0
14,21,204,1.9,23100000.0,723.72,2000,47,18,0
14,22,44,2.2,20858000.0,623.32,2000,47,14,0
14,23,111,2.6,23483000.0,742.06,2000,47,18,0
14,24,167,2.6,21060000.0,631.6,2000,47,14,0
14,25,94,1.6,23196000.0,728.46,2000,47,18,0
14,26,146,1.9,23155000.0,726.23,2000,47,18,0
14,27,199,3.4,20908000.0,625.39,2000,47,14,0
14,28,96,2.0,24046000.0,760.95,2001,61,19,0
14,29,187,2.0,20939000.0,627.21,2001,61,14,0
14,30,90,2.0,21131000.0,633.9,2001,61,14,0
14,31,196,1.5,23229000.0,730.18,2001,61,18,0
14,32,24,1.5,22865000.0,717.33,2001,61,19,0
14,33,183,1.5,20797000.0,620.49,2001,61,14,0
14,34,144,1.0,19304000.0,550.74,2001,61,14,0
14,35,34,1.0,20720000.0,622.56,2001,61,14,0
14,36,130,1.0,23487000.0,748.34,2001,61,19,0
14,37,93,1.0,23217000.0,729.47,2001,61,18,0
14,38,170,1.0,23004000.0,719.44,2001,61,18,0
14,39,8,1.5,23577000.0,739.88,2003,27,19,0
14,40,158,1.0,21035000.0,620.04,2003,6,14,0
14,41,216,2.0,23980000.0,761.5,2003,32,19,0
14,42,77,1.0,21164000.0,628.09,2003,29,14,0
14,43,188,1.5,23355000.0,731.95,2002,53,18,0
14,44,197,1.0,23288000.0,728.73,2003,27,18,0
14,45,1,2.0,21069000.0,626.32,2003,32,14,0
14,46,99,1.5,17058000.0,456.3,2003,3,28,0
14,47,35,2.0,23328000.0,730.47,2003,32,18,0
14,48,117,1.0,23809000.0,752.0,2003,61,19,0
14,49,9,1.0,24543000.0,779.17,2003,61,19,0
14,50,51,1.0,22983000.0,714.51,2003,58,18,0
14,51,217,1.0,23314335.0,723.2,2010,57,18,0
14,52,198,0.5,20307150.0,588.1,2010,20,14,0
14,53,166,2.0,12570000.0,287.93,2001,32,25,0
14,54,122,3.0,20595480.0,602.7,2016,39,14,0
14,55,120,1.0,20426000.0,596.58,2003,58,14,0
14,56,74,0.5,23329710.0,726.8,2011,39,19,0
14,57,89,2.0,23498000.0,738.74,2003,32,18,0
14,58,91,1.0,22630000.0,689.77,2003,27,19,0
14,59,70,2.0,23483978.0,734.2,2017,39,19,0
14,60,15,1.0,20224000.0,583.88,2003,32,14,0
14,61,107,1.0,23535000.0,740.43,2003,58,18,0
14,62,149,0.5,18928095.0,532.0,2016,39,13,0
14,63,36,1.0,23240957.0,723.8,2017,39,18,0
14,64,174,1.0,20639315.0,605.8,2017,39,14,0
14,65,29,1.0,11494801.0,251.8,2017,39,25,0
14,66,101,1.0,23169389.0,720.5,2017,39,18,0
14,67,160,1.0,22394682.0,684.7,2017,39,19,0
14,68,209,1.0,20571458.0,602.8,2017,39,14,0
14,69,81,0.5,23174446.0,720.7,2017,39,18,0
14,70,115,1.0,21429955.0,640.9,2017,39,14,0
14,71,133,1.0,11453004.0,250.4,2018,39,2,0
14,72,185,0.5,20155290.0,580.7,2011,39,18,0
14,73,128,1.0,28455000.0,981.55,2003,32,7,0
14,73,100,1.0,23933000.0,755.26,2003,32,7,0
14,73,72,0.5,23388000.0,733.3,2003,27,18,0
14,73,56,1.0,23044000.0,716.25,2003,27,17,0
14,73,112,0.5,17833000.0,489.72,2003,27,4,0
14,73,119,1.0,20956000.0,616.33,2003,58,14,0
14,73,66,1.0,23566000.0,732.45,2004,27,7,0
3,1,30,198.2,185540.0,0.942,1789,64,21,0
3,2,163,252.3,238040.0,1.37,1789,64,21,0
3,3,194,536.3,294670.0,1.888,1684,31,33,0
3,4,78,562.5,377420.0,2.737,1684,31,33,0
3,5,182,764.5,527070.0,4.518,1672,31,33,0
3,6,33,2575.5,1221870.0,15.95,1655,42,21,0
3,7,102,138.6,1500880.0,21.28,1848,16,21,0
3,8,150,734.5,3560840.0,79.33,1671,31,33,0
3,9,103,106.6,12947780.0,550.31,1899,25,11,0
3,10,175,90.4,151460.0,0.695,1966,14,23,0
3,11,138,58.3,151410.0,0.694,1980,35,23,0
3,12,79,16.0,377420.0,2.737,1980,0,20,0
3,13,151,12.0,294710.0,1.888,1980,69,20,0
3,14,50,9.5,294710.0,1.888,1980,36,20,0
3,15,82,15.3,137670.0,0.602,1980,12,15,0
3,16,87,46.8,139380.0,0.613,1980,44,15,0
3,17,142,40.6,141720.0,0.629,1980,44,15,0
3,18,88,12.8,133580.0,0.575,1990,1,15,0
3,19,109,9.0,23140400.0,1315.58,2000,65,11,0
3,20,26,11.0,15200000.0,686.95,2000,65,10,0
3,21,211,7.5,17983000.0,926.23,2000,21,8,0
3,22,125,6.0,11124000.0,451.42,2000,21,10,0
3,23,18,3.5,19459000.0,1016.67,2000,21,11,0
3,24,136,8.0,11110000.0,449.22,2000,65,10,0
3,25,61,3.5,18628000.0,952.77,2000,21,11,0
3,26,11,16.0,16182000.0,783.45,2000,9,8,0
3,27,154,4.0,15540000.0,728.2,2000,21,11,0
3,28,172,5.0,17343000.0,871.19,2000,21,8,0
3,29,168,20.0,18015400.0,896.44,2000,21,10,0
3,30,169,3.5,20314000.0,1094.11,2000,21,11,0
3,31,181,3.5,19007000.0,1003.86,2003,61,11,0
3,32,124,1.6,194440.0,1.01,2004,43,16,0
3,33,32,2.0,212280.0,1.154,2004,49,16,0
3,34,193,1.25,377200.0,2.737,2004,10,20,0
3,35,165,3.8,136500.0,0.594,2005,10,15,0
3,36,55,3.0,20751000.0,1117.52,2004,45,11,0
3,37,131,3.0,17119000.0,834.84,2004,45,8,0
3,38,73,3.0,19336000.0,1005.74,2004,45,11,0
3,39,205,3.5,20192000.0,1088.72,2004,45,11,0
3,40,118,2.5,20377000.0,1085.55,2004,45,11,0
3,41,126,2.0,22454000.0,1260.35,2004,45,11,0
3,42,43,3.0,25146000.0,1494.2,2004,45,11,0
3,43,108,3.0,19846000.0,1038.61,2004,45,11,0
3,44,203,4.0,18437000.0,931.86,2006,61,11,0
3,45,135,3.5,22089000.0,1230.97,2006,61,11,0
3,46,37,3.0,23058000.0,1311.36,2006,61,11,0
3,47,213,3.0,17665000.0,878.29,2006,61,11,0
3,48,153,3.0,22704000.0,1297.36,2006,61,11,0
3,49,134,1.0,197700.0,1.0365,2007,10,16,0
3,50,212,3.0,18811000.0,964.74,2006,61,11,0
3,51,17,3.0,18206000.0,921.19,2006,61,11,0
3,52,68,3.5,18009000.0,887.48,2007,61,10,0
3,53,178,0.33,167500.0,0.808,2008,22,26,0
3,73,206,3.0,20999000.0,1140.24,2004,45,3,0
3,73,191,2.5,19878000.0,1046.19,2004,45,3,0
3,73,27,3.0,18404000.0,933.48,2004,45,3,0
3,73,4,2.0,19447000.0,1014.7,2004,45,3,0
3,73,161,3.0,18790000.0,963.37,2006,61,3,0
3,73,84,3.0,22096000.0,1227.21,2006,61,3,0
3,73,186,3.0,16725000.0,808.08,2007,61,3,0
3,73,201,3.0,18975000.0,977.8,2007,61,3,0
3,73,76,0.15,117000.0,0.471,2009,22,22,0
3,73,208,3.0,19418000.0,1010.55,2019,61,3,0
3,73,140,3.0,22645000.0,1272.61,2019,61,3,0
3,73,22,3.0,20636000.0,1107.13,2019,61,3,0
3,73,19,4.0,21163000.0,1149.82,2019,61,3,0
3,73,28,3.0,22901000.0,1294.25,2019,45,32,0
3,73,116,4.0,21174000.0,1150.69,2019,61,3,0
3,73,0,4.0,26676000.0,1627.18,2019,45,3,0
3,73,63,6.0,19976000.0,1054.45,2019,38,3,0
3,73,145,4.0,22020000.0,1220.31,2019,45,3,0
3,73,14,4.0,16981000.0,826.44,2019,45,10,0
3,73,104,3.0,20396000.0,1087.84,2019,61,3,0
3,73,147,4.0,17568000.0,869.65,2019,45,10,0
3,73,164,4.0,21214000.0,1153.96,2019,61,3,0
3,73,20,4.0,24168000.0,1403.18,2019,61,3,0
3,73,218,3.0,24299000.0,1414.59,2019,61,3,0
3,73,58,6.0,22412000.0,1253.08,2019,45,3,0
3,73,48,3.0,23192000.0,1319.07,2019,61,3,0
3,73,80,4.0,15892000.0,748.18,2019,61,3,0
3,73,52,4.0,21908000.0,1211.02,2019,61,3,0
3,73,200,3.0,23575000.0,1351.83,2019,61,3,0
7,1,38,578.9,190900.0,2.52,1851,70,21,0
7,2,171,584.7,266000.0,4.144,1851,70,21,0
7,3,110,788.9,436300.0,8.706,1787,64,21,0
7,4,189,761.4,583500.0,13.46,1787,64,21,0
7,5,83,235.8,129900.0,1.413,1948,66,21,0
7,6,10,20.1,49800.0,0.335,1986,59,15,0
7,7,16,21.4,53800.0,0.376,1986,59,15,0
7,8,184,25.7,59200.0,0.435,1986,23,27,0
7,9,173,39.8,61800.0,0.464,1986,2,27,0
7,10,177,32.0,62700.0,0.474,1986,2,27,0
7,11,42,46.8,64400.0,0.493,1986,2,27,0
7,12,2,67.6,66100.0,0.513,1986,2,27,0
7,13,69,36.0,69900.0,0.558,1986,2,27,0
7,14,210,40.3,75300.0,0.624,1986,2,27,0
7,15,62,81.0,86000.0,0.762,1985,2,27,0
7,16,49,49.0,7231100.0,579.73,1997,50,30,0
7,17,7,75.0,12179400.0,1288.38,1997,50,30,0
7,18,179,25.0,16256000.0,1978.29,1999,17,30,0
7,19,3,24.0,17418000.0,2225.21,1999,17,30,0
7,20,59,10.0,8004000.0,677.36,1999,17,30,0
7,21,5,9.0,8504000.0,749.24,2001,15,30,0
7,22,190,6.0,4276000.0,266.56,2001,40,30,0
7,23,155,5.5,14345000.0,1687.01,2003,72,9,0
7,24,97,6.0,20901000.0,2887.21,2001,63,30,0
7,25,45,15.0,76417.0,0.638,1986,52,27,0
7,26,148,6.0,97736.0,0.923,2003,51,27,0
7,27,60,9.0,74392.0,0.613,2003,51,27,0
0,1,75,1353.4,354800.0,5.877,1846,70,30,0
0,2,123,170.0,5513820.0,360.14,1949,66,9,0
0,3,176,33.0,48224.0,0.294,1989,59,27,0
0,4,40,41.0,50075.0,0.311,1989,59,27,0
0,5,92,75.0,52526.0,0.335,1989,2,27,0
0,6,156,88.0,61953.0,0.429,1989,2,27,0
0,7,162,97.0,73548.0,0.555,1982,30,27,0
0,8,98,210.0,117647.0,1.122,1989,2,27,0
0,9,39,31.0,15728000.0,1879.71,2002,24,30,0
0,10,157,20.0,46695000.0,9115.91,2003,54,30,0
0,11,113,22.0,22422000.0,2914.07,2002,24,9,0
0,12,53,21.0,23571000.0,3167.85,2002,24,9,0
0,13,13,30.0,48387000.0,9373.99,2002,24,30,0
0,14,47,17.4,105283.0,0.9362,2013,41,27,0
12,1,152,221.0,9000.0,9.539,2005,48,6,0
6,1,132,606.0,19591.0,6.387,1978,62,6,0
6,2,46,23.0,48671.0,24.85,2005,5,31,0
6,3,207,30.5,64698.0,38.2,2005,5,31,0
6,4,192,14.0,57729.0,32.17,2011,68,31,0
6,5,143,10.0,42393.0,20.16,2012,68,31,0
1,1,159,142.0,5724.0,5.494,2006,11,0,0
11,1,114,160.0,49880.0,49.12,2005,55,0,0
11,2,202,85.0,25657.0,18.2783,2005,55,0,0
2,1,214,85.0,14500.0,12.438,2007,13,0,0
10,73,215,87.5,21000.0,12.4,2016,46,0,0
5,1,95,180.0,4809.0,5.751,2009,11,0,0
4,73,121,50.0,24020.0,25.221,2010,71,5,0
13,1,54,350.0,37370.0,15.774,2005,67,29,0
